supplier_name,total_products,categories_supplied,total_inventory_value,total_stock,avg_unit_price,total_sales_volume,avg_turnover_rate,low_stock_count,active_products,last_order_month,low_stock_pct,supply_reliability_score,gold_processed_at
Lazz,4,3,825.5,154,4.75,301,53.25,3,2,2025-01,75.0,39.46,2026-05-17 04:24:58
Avavee,1,1,157.5,63,2.5,33,31.0,0,0,2024-05,0.0,39.36,2026-05-17 04:24:58
Yata,3,2,588.9,223,2.77,124,46.0,1,0,2024-10,33.33,39.34,2026-05-17 04:24:58
Flipbug,3,3,494.1,111,5.82,191,65.33,2,0,2025-01,66.67,39.25,2026-05-17 04:24:58
Wordpedia,3,2,456.0,108,4.75,109,48.33,1,1,2024-08,33.33,39.18,2026-05-17 04:24:58
Devpulse,6,5,945.6,259,4.37,280,32.0,3,1,2024-09,50.0,39.16,2026-05-17 04:24:58
Fliptune,2,2,1026.0,171,6.0,70,23.0,0,1,2024-08,0.0,39.06,2026-05-17 04:24:58
Rhyloo,4,4,934.5,207,4.44,253,60.0,3,3,2024-08,75.0,38.74,2026-05-17 04:24:58
Topicshots,3,2,373.4,139,2.63,155,37.33,1,2,2024-10,33.33,38.48,2026-05-17 04:24:58
Tagpad,1,1,114.4,26,4.4,73,20.0,0,0,2024-09,0.0,38.31,2026-05-17 04:24:58
Thoughtsphere,2,2,747.0,131,4.5,162,51.5,1,0,2025-02,50.0,38.27,2026-05-17 04:24:58
Twitterbeat,4,3,1043.8,164,5.55,241,36.5,2,2,2024-11,50.0,38.26,2026-05-17 04:24:58
Tagfeed,2,2,315.0,126,2.5,164,50.5,1,2,2024-11,50.0,38.08,2026-05-17 04:24:58
Rhycero,1,1,552.5,85,6.5,46,24.0,0,0,2025-02,0.0,37.96,2026-05-17 04:24:58
Linktype,2,2,385.5,87,4.38,145,53.5,1,2,2024-09,50.0,37.89,2026-05-17 04:24:58
Brightbean,4,2,700.3,174,3.58,229,61.75,3,2,2025-02,75.0,37.87,2026-05-17 04:24:58
Livepath,3,3,576.1,110,4.37,227,53.67,2,2,2025-02,66.67,37.75,2026-05-17 04:24:58
Eidel,5,4,898.0,199,5.1,273,38.0,3,2,2025-01,60.0,37.6,2026-05-17 04:24:58
Mydeo,3,2,370.8,177,1.93,110,43.0,1,0,2025-02,33.33,37.59,2026-05-17 04:24:58
Bubblebox,4,3,447.6,185,3.02,223,37.5,2,1,2025-01,50.0,37.52,2026-05-17 04:24:58
Latz,2,2,268.0,85,3.65,119,57.0,1,1,2025-01,50.0,37.45,2026-05-17 04:24:58
Avamm,2,2,290.0,116,2.5,141,52.5,1,2,2024-10,50.0,37.35,2026-05-17 04:24:58
Buzzster,2,2,508.0,111,6.0,133,54.0,1,1,2025-01,50.0,37.34,2026-05-17 04:24:58
Shuffledrive,6,4,1726.5,328,6.0,338,47.33,5,4,2024-12,83.33,37.3,2026-05-17 04:24:58
Ainyx,3,2,399.55,129,2.82,144,35.33,1,0,2024-09,33.33,37.21,2026-05-17 04:24:58
Skynoodle,4,4,1014.5,281,3.7,240,57.5,3,1,2025-01,75.0,37.2,2026-05-17 04:24:58
Yakijo,2,1,229.5,43,5.25,176,45.0,1,0,2024-06,50.0,37.08,2026-05-17 04:24:58
Browsetype,4,3,1034.4,228,4.45,350,36.0,3,1,2025-01,75.0,37.0,2026-05-17 04:24:58
Dabjam,4,3,377.85,120,4.36,233,57.5,3,1,2025-01,75.0,36.79,2026-05-17 04:24:58
Wordtune,2,2,446.0,97,3.5,68,64.5,1,0,2025-02,50.0,36.78,2026-05-17 04:24:58
Devpoint,4,4,478.2,145,4.18,301,43.75,3,1,2025-02,75.0,36.53,2026-05-17 04:24:58
Aivee,2,2,230.0,134,1.75,192,39.0,1,1,2024-08,50.0,36.16,2026-05-17 04:24:58
Jaxnation,3,3,509.7,138,3.8,168,26.67,1,0,2024-12,33.33,35.94,2026-05-17 04:24:58
Dabvine,1,1,360.0,90,4.0,63,14.0,0,0,2024-04,0.0,35.87,2026-05-17 04:24:58
Topicblab,3,2,497.0,176,2.67,201,20.0,1,2,2024-10,33.33,35.82,2026-05-17 04:24:58
Voolia,2,2,730.0,187,4.0,106,5.5,0,1,2024-10,0.0,35.76,2026-05-17 04:24:58
Rhynoodle,1,1,451.0,82,5.5,39,18.0,0,0,2024-03,0.0,35.69,2026-05-17 04:24:58
Tagopia,4,2,455.9,133,3.7,251,49.75,3,1,2024-12,75.0,35.45,2026-05-17 04:24:58
Jetwire,2,2,977.0,167,6.5,88,7.5,0,1,2025-02,0.0,35.32,2026-05-17 04:24:58
Browsedrive,1,1,55.2,23,2.4,81,8.0,0,1,2024-03,0.0,35.07,2026-05-17 04:24:58
Zoombox,3,3,328.8,174,2.18,195,51.0,2,1,2025-02,66.67,35.05,2026-05-17 04:24:58
Gabvine,2,2,306.75,93,3.62,170,39.5,1,1,2024-10,50.0,35.03,2026-05-17 04:24:58
Cogibox,1,1,84.0,42,2.0,80,8.0,0,0,2024-04,0.0,35.01,2026-05-17 04:24:58
Yodoo,3,3,1026.5,228,4.33,148,26.33,1,1,2024-11,33.33,34.67,2026-05-17 04:24:58
Topicstorm,4,3,683.25,183,3.69,192,34.0,2,1,2025-01,50.0,34.62,2026-05-17 04:24:58
Gigaclub,3,2,406.25,157,2.92,87,37.67,1,2,2025-02,33.33,34.59,2026-05-17 04:24:58
Zoovu,3,3,823.0,113,7.0,163,55.33,2,2,2025-01,66.67,34.51,2026-05-17 04:24:58
Quire,3,3,845.8,216,3.95,236,41.33,2,1,2024-11,66.67,34.46,2026-05-17 04:24:58
Centizu,4,2,788.5,189,3.75,239,48.75,3,0,2024-11,75.0,34.44,2026-05-17 04:24:58
Snaptags,2,2,891.0,139,6.0,92,52.0,1,0,2024-05,50.0,34.32,2026-05-17 04:24:58
Brainverse,4,2,291.75,78,4.31,192,57.25,3,1,2025-01,75.0,34.31,2026-05-17 04:24:58
Eabox,2,2,245.25,135,1.98,105,48.0,1,0,2024-09,50.0,33.84,2026-05-17 04:24:58
Tekfly,1,1,93.5,22,4.25,64,7.0,0,1,2024-10,0.0,33.76,2026-05-17 04:24:58
Realcube,3,3,676.8,206,2.9,192,14.67,1,1,2025-02,33.33,33.64,2026-05-17 04:24:58
Linklinks,5,4,1302.5,218,7.4,200,39.0,3,3,2025-01,60.0,33.63,2026-05-17 04:24:58
Devbug,4,3,829.0,143,5.75,212,26.75,2,0,2024-07,50.0,33.55,2026-05-17 04:24:58
Viva,2,2,249.5,105,2.25,79,51.5,1,0,2024-10,50.0,33.4,2026-05-17 04:24:58
Topdrive,4,2,511.35,98,5.36,228,71.5,4,1,2025-02,100.0,33.33,2026-05-17 04:24:58
Centimia,4,2,288.65,167,1.64,240,44.75,3,0,2025-02,75.0,33.26,2026-05-17 04:24:58
Meeveo,3,3,1036.0,191,5.5,169,17.33,1,2,2024-10,33.33,33.11,2026-05-17 04:24:58
Tavu,2,1,610.0,115,4.5,77,50.5,1,1,2024-08,50.0,32.98,2026-05-17 04:24:58
Shufflester,4,3,977.0,201,4.55,128,40.5,2,1,2024-08,50.0,32.87,2026-05-17 04:24:58
Photofeed,2,2,680.0,86,6.25,153,84.0,2,0,2024-08,100.0,32.79,2026-05-17 04:24:58
Youtags,2,2,492.5,119,5.75,163,33.0,1,1,2025-01,50.0,32.61,2026-05-17 04:24:58
Zava,4,2,693.0,242,2.88,156,33.5,2,1,2025-01,50.0,32.35,2026-05-17 04:24:58
Skivee,2,2,242.0,134,1.75,121,40.0,1,1,2024-07,50.0,32.31,2026-05-17 04:24:58
Kazu,2,2,567.0,99,4.75,159,31.5,1,0,2024-08,50.0,31.91,2026-05-17 04:24:58
Thoughtbeat,3,2,838.5,199,4.33,183,43.0,2,0,2024-12,66.67,31.87,2026-05-17 04:24:58
Wikivu,1,1,524.6,86,6.1,80,94.0,1,1,2025-01,100.0,31.6,2026-05-17 04:24:58
Ntags,2,1,110.4,90,2.4,69,47.5,1,1,2024-10,50.0,31.58,2026-05-17 04:24:58
DabZ,2,2,467.5,61,6.25,103,40.5,1,1,2024-07,50.0,31.41,2026-05-17 04:24:58
Vitz,3,2,613.4,123,4.6,108,55.67,2,0,2025-02,66.67,31.39,2026-05-17 04:24:58
Buzzbean,2,1,800.0,120,7.5,102,40.5,1,0,2025-01,50.0,31.35,2026-05-17 04:24:58
Plajo,3,3,938.0,200,5.0,255,26.33,2,1,2025-02,66.67,30.94,2026-05-17 04:24:58
