supplier_name,categories_supplied,active_products,total_products,avg_turnover_rate,low_stock_count,total_sales_volume,supply_reliability_score,supplier_cluster_id,supplier_tier,gold_processed_at
Lajo,2,1,3,45.67,1,241,46.1,0,Top Supplier,2026-05-16 03:34:18
Roomm,2,0,2,82.0,1,130,45.83,1,At-Risk Supplier,2026-05-16 03:34:18
Twitterworks,1,0,1,43.0,0,80,45.83,1,At-Risk Supplier,2026-05-16 03:34:18
Bluejam,2,2,2,38.0,0,106,45.81,1,At-Risk Supplier,2026-05-16 03:34:18
Izio,2,1,3,42.0,1,255,45.79,0,Top Supplier,2026-05-16 03:34:18
Meembee,2,0,3,54.0,1,191,45.74,1,At-Risk Supplier,2026-05-16 03:34:18
Jazzy,2,1,2,83.0,1,122,45.67,1,At-Risk Supplier,2026-05-16 03:34:18
Tanoodle,4,2,5,41.2,2,291,45.65,0,Top Supplier,2026-05-16 03:34:18
Oba,2,0,3,41.33,1,252,45.4,0,Top Supplier,2026-05-16 03:34:18
InnoZ,2,2,2,83.5,1,114,45.35,1,At-Risk Supplier,2026-05-16 03:34:18
Flashspan,3,2,4,57.75,2,248,45.25,0,Top Supplier,2026-05-16 03:34:18
Quimm,1,0,1,51.0,0,27,45.2,1,At-Risk Supplier,2026-05-16 03:34:18
Feednation,1,1,1,42.0,0,73,45.11,1,At-Risk Supplier,2026-05-16 03:34:18
Kwimbee,2,1,3,59.0,1,153,45.06,1,At-Risk Supplier,2026-05-16 03:34:18
Abatz,2,0,3,41.67,1,244,45.04,0,Top Supplier,2026-05-16 03:34:18
Talane,3,0,4,53.75,2,264,44.95,0,Top Supplier,2026-05-16 03:34:18
Eayo,2,0,2,71.0,1,173,44.95,1,At-Risk Supplier,2026-05-16 03:34:18
Livefish,1,0,1,45.0,0,54,44.93,1,At-Risk Supplier,2026-05-16 03:34:18
Fivespan,1,1,1,46.0,0,46,44.77,1,At-Risk Supplier,2026-05-16 03:34:18
Jabberstorm,2,1,3,23.67,0,161,44.6,1,At-Risk Supplier,2026-05-16 03:34:18
Bubblemix,3,2,5,44.2,3,358,44.51,0,Top Supplier,2026-05-16 03:34:18
Chatterpoint,1,1,2,77.5,1,131,44.49,1,At-Risk Supplier,2026-05-16 03:34:18
Dabtype,3,1,4,61.25,2,214,44.34,0,Top Supplier,2026-05-16 03:34:18
Voonder,3,1,3,92.67,2,133,44.3,1,At-Risk Supplier,2026-05-16 03:34:18
Wikibox,1,0,2,69.0,1,171,44.21,1,At-Risk Supplier,2026-05-16 03:34:18
Linkbridge,2,1,2,72.0,1,155,44.2,1,At-Risk Supplier,2026-05-16 03:34:18
Dabfeed,1,0,1,47.0,0,31,44.19,1,At-Risk Supplier,2026-05-16 03:34:18
Shuffletag,3,0,3,47.0,1,201,44.17,1,At-Risk Supplier,2026-05-16 03:34:18
Ozu,2,1,4,53.25,2,251,44.03,0,Top Supplier,2026-05-16 03:34:18
Cogilith,3,2,3,53.67,1,163,44.0,1,At-Risk Supplier,2026-05-16 03:34:18
Skyndu,3,1,3,58.0,1,139,43.93,1,At-Risk Supplier,2026-05-16 03:34:18
Zoonder,2,1,2,78.5,1,114,43.81,1,At-Risk Supplier,2026-05-16 03:34:18
Bluezoom,3,1,3,18.33,0,174,43.71,1,At-Risk Supplier,2026-05-16 03:34:18
Eire,2,2,3,72.67,2,228,43.69,0,Top Supplier,2026-05-16 03:34:18
Thoughtblab,2,1,5,9.0,0,222,43.64,0,Top Supplier,2026-05-16 03:34:18
Jabbersphere,2,3,6,48.67,4,353,43.6,0,Top Supplier,2026-05-16 03:34:18
Thoughtworks,1,0,1,43.0,0,41,43.54,1,At-Risk Supplier,2026-05-16 03:34:18
Dabshots,2,1,2,24.5,0,138,43.51,1,At-Risk Supplier,2026-05-16 03:34:18
Demimbu,1,0,3,36.0,1,245,43.35,0,Top Supplier,2026-05-16 03:34:18
Jaloo,2,2,2,80.5,1,89,42.96,1,At-Risk Supplier,2026-05-16 03:34:18
Twimm,2,2,2,77.0,1,107,42.93,1,At-Risk Supplier,2026-05-16 03:34:18
Dynabox,3,3,4,39.25,2,304,42.81,0,Top Supplier,2026-05-16 03:34:18
Pixonyx,1,2,3,43.0,1,197,42.69,1,At-Risk Supplier,2026-05-16 03:34:18
Camimbo,1,0,1,37.0,0,57,42.63,1,At-Risk Supplier,2026-05-16 03:34:18
Mudo,2,1,3,37.0,1,227,42.6,1,At-Risk Supplier,2026-05-16 03:34:18
Geba,3,3,5,44.4,3,322,42.46,0,Top Supplier,2026-05-16 03:34:18
Feedfire,2,3,4,55.25,2,213,42.42,0,Top Supplier,2026-05-16 03:34:18
Blogpad,1,0,3,59.0,1,107,42.36,1,At-Risk Supplier,2026-05-16 03:34:18
Oloo,2,0,2,74.5,1,106,42.1,1,At-Risk Supplier,2026-05-16 03:34:18
Kwilith,2,1,3,69.33,2,216,41.95,0,Top Supplier,2026-05-16 03:34:18
Skyble,3,2,3,15.67,0,157,41.9,1,At-Risk Supplier,2026-05-16 03:34:18
Youopia,2,1,2,74.5,1,99,41.69,1,At-Risk Supplier,2026-05-16 03:34:18
Youspan,1,0,1,32.0,0,64,41.49,1,At-Risk Supplier,2026-05-16 03:34:18
Twiyo,1,1,1,26.0,0,95,41.45,1,At-Risk Supplier,2026-05-16 03:34:18
Jetpulse,3,0,3,49.0,1,144,41.44,1,At-Risk Supplier,2026-05-16 03:34:18
Miboo,2,0,3,77.33,2,165,41.43,1,At-Risk Supplier,2026-05-16 03:34:18
Shufflebeat,2,1,2,75.5,1,86,41.23,1,At-Risk Supplier,2026-05-16 03:34:18
Blogtag,2,1,2,71.0,1,107,41.07,1,At-Risk Supplier,2026-05-16 03:34:18
Edgeify,1,0,1,32.0,0,56,41.02,1,At-Risk Supplier,2026-05-16 03:34:18
LiveZ,2,0,2,69.5,1,112,40.9,1,At-Risk Supplier,2026-05-16 03:34:18
Tagtune,2,2,3,76.67,2,159,40.88,1,At-Risk Supplier,2026-05-16 03:34:18
Feedfish,1,0,1,24.0,0,95,40.84,1,At-Risk Supplier,2026-05-16 03:34:18
Devcast,3,2,4,41.0,2,261,40.83,0,Top Supplier,2026-05-16 03:34:18
Skidoo,3,2,5,41.0,2,209,40.78,0,Top Supplier,2026-05-16 03:34:18
Vinder,4,1,6,48.67,4,301,40.55,0,Top Supplier,2026-05-16 03:34:18
Skaboo,2,0,2,70.5,1,100,40.51,1,At-Risk Supplier,2026-05-16 03:34:18
JumpXS,1,0,1,24.0,0,88,40.42,1,At-Risk Supplier,2026-05-16 03:34:18
Layo,2,2,4,37.5,2,271,40.33,0,Top Supplier,2026-05-16 03:34:18
Babbleopia,1,1,1,26.0,0,75,40.28,1,At-Risk Supplier,2026-05-16 03:34:18
Riffpedia,1,1,1,31.0,0,48,40.24,1,At-Risk Supplier,2026-05-16 03:34:18
Tazz,2,1,3,36.0,1,190,40.12,1,At-Risk Supplier,2026-05-16 03:34:18
Vidoo,3,2,4,42.25,2,242,40.1,0,Top Supplier,2026-05-16 03:34:18
Kanoodle,3,3,5,56.8,4,316,39.94,0,Top Supplier,2026-05-16 03:34:18
Livetube,2,1,5,49.8,3,248,39.79,0,Top Supplier,2026-05-16 03:34:18
Npath,2,1,2,61.5,1,135,39.78,1,At-Risk Supplier,2026-05-16 03:34:18
Wikido,2,0,2,73.0,1,71,39.58,1,At-Risk Supplier,2026-05-16 03:34:18
Meemm,1,0,1,33.0,0,26,39.57,1,At-Risk Supplier,2026-05-16 03:34:18
Quaxo,1,1,2,74.5,1,62,39.52,1,At-Risk Supplier,2026-05-16 03:34:18
Pixoboo,1,0,1,29.0,0,46,39.51,1,At-Risk Supplier,2026-05-16 03:34:18
Lazz,3,2,4,53.25,3,301,39.46,0,Top Supplier,2026-05-16 03:34:18
Avavee,1,0,1,31.0,0,33,39.36,1,At-Risk Supplier,2026-05-16 03:34:18
Yata,2,0,3,46.0,1,124,39.34,1,At-Risk Supplier,2026-05-16 03:34:18
Flipbug,3,0,3,65.33,2,191,39.25,0,Top Supplier,2026-05-16 03:34:18
Wordpedia,2,1,3,48.33,1,109,39.18,1,At-Risk Supplier,2026-05-16 03:34:18
Devpulse,5,1,6,32.0,3,280,39.16,0,Top Supplier,2026-05-16 03:34:18
Fliptune,2,1,2,23.0,0,70,39.06,1,At-Risk Supplier,2026-05-16 03:34:18
Rhyloo,4,3,4,60.0,3,253,38.74,0,Top Supplier,2026-05-16 03:34:18
Topicshots,2,2,3,37.33,1,155,38.48,1,At-Risk Supplier,2026-05-16 03:34:18
Tagpad,1,0,1,20.0,0,73,38.31,1,At-Risk Supplier,2026-05-16 03:34:18
Thoughtsphere,2,0,2,51.5,1,162,38.27,1,At-Risk Supplier,2026-05-16 03:34:18
Twitterbeat,3,2,4,36.5,2,241,38.26,0,Top Supplier,2026-05-16 03:34:18
Tagfeed,2,2,2,50.5,1,164,38.08,1,At-Risk Supplier,2026-05-16 03:34:18
Rhycero,1,0,1,24.0,0,46,37.96,1,At-Risk Supplier,2026-05-16 03:34:18
Linktype,2,2,2,53.5,1,145,37.89,1,At-Risk Supplier,2026-05-16 03:34:18
Brightbean,2,2,4,61.75,3,229,37.87,0,Top Supplier,2026-05-16 03:34:18
Livepath,3,2,3,53.67,2,227,37.75,0,Top Supplier,2026-05-16 03:34:18
Eidel,4,2,5,38.0,3,273,37.6,0,Top Supplier,2026-05-16 03:34:18
Mydeo,2,0,3,43.0,1,110,37.59,1,At-Risk Supplier,2026-05-16 03:34:18
Bubblebox,3,1,4,37.5,2,223,37.52,0,Top Supplier,2026-05-16 03:34:18
Latz,2,1,2,57.0,1,119,37.45,1,At-Risk Supplier,2026-05-16 03:34:18
Avamm,2,2,2,52.5,1,141,37.35,1,At-Risk Supplier,2026-05-16 03:34:18
Buzzster,2,1,2,54.0,1,133,37.34,1,At-Risk Supplier,2026-05-16 03:34:18
Shuffledrive,4,4,6,47.33,5,338,37.3,0,Top Supplier,2026-05-16 03:34:18
Ainyx,2,0,3,35.33,1,144,37.21,1,At-Risk Supplier,2026-05-16 03:34:18
Skynoodle,4,1,4,57.5,3,240,37.2,0,Top Supplier,2026-05-16 03:34:18
Yakijo,1,0,2,45.0,1,176,37.08,1,At-Risk Supplier,2026-05-16 03:34:18
Browsetype,3,1,4,36.0,3,350,37.0,0,Top Supplier,2026-05-16 03:34:18
Dabjam,3,1,4,57.5,3,233,36.79,0,Top Supplier,2026-05-16 03:34:18
Wordtune,2,0,2,64.5,1,68,36.78,1,At-Risk Supplier,2026-05-16 03:34:18
Devpoint,4,1,4,43.75,3,301,36.53,0,Top Supplier,2026-05-16 03:34:18
Aivee,2,1,2,39.0,1,192,36.16,1,At-Risk Supplier,2026-05-16 03:34:18
Jaxnation,3,0,3,26.67,1,168,35.94,1,At-Risk Supplier,2026-05-16 03:34:18
Dabvine,1,0,1,14.0,0,63,35.87,1,At-Risk Supplier,2026-05-16 03:34:18
Topicblab,2,2,3,20.0,1,201,35.82,1,At-Risk Supplier,2026-05-16 03:34:18
Voolia,2,1,2,5.5,0,106,35.76,1,At-Risk Supplier,2026-05-16 03:34:18
Rhynoodle,1,0,1,18.0,0,39,35.69,1,At-Risk Supplier,2026-05-16 03:34:18
Tagopia,2,1,4,49.75,3,251,35.45,0,Top Supplier,2026-05-16 03:34:18
Jetwire,2,1,2,7.5,0,88,35.32,1,At-Risk Supplier,2026-05-16 03:34:18
Browsedrive,1,1,1,8.0,0,81,35.07,1,At-Risk Supplier,2026-05-16 03:34:18
Zoombox,3,1,3,51.0,2,195,35.05,0,Top Supplier,2026-05-16 03:34:18
Gabvine,2,1,2,39.5,1,170,35.03,1,At-Risk Supplier,2026-05-16 03:34:18
Cogibox,1,0,1,8.0,0,80,35.01,1,At-Risk Supplier,2026-05-16 03:34:18
Yodoo,3,1,3,26.33,1,148,34.67,1,At-Risk Supplier,2026-05-16 03:34:18
Topicstorm,3,1,4,34.0,2,192,34.62,0,Top Supplier,2026-05-16 03:34:18
Gigaclub,2,2,3,37.67,1,87,34.59,1,At-Risk Supplier,2026-05-16 03:34:18
Zoovu,3,2,3,55.33,2,163,34.51,1,At-Risk Supplier,2026-05-16 03:34:18
Quire,3,1,3,41.33,2,236,34.46,0,Top Supplier,2026-05-16 03:34:18
Centizu,2,0,4,48.75,3,239,34.44,0,Top Supplier,2026-05-16 03:34:18
Snaptags,2,0,2,52.0,1,92,34.32,1,At-Risk Supplier,2026-05-16 03:34:18
Brainverse,2,1,4,57.25,3,192,34.31,0,Top Supplier,2026-05-16 03:34:18
Eabox,2,0,2,48.0,1,105,33.84,1,At-Risk Supplier,2026-05-16 03:34:18
Tekfly,1,1,1,7.0,0,64,33.76,1,At-Risk Supplier,2026-05-16 03:34:18
Realcube,3,1,3,14.67,1,192,33.64,1,At-Risk Supplier,2026-05-16 03:34:18
Linklinks,4,3,5,39.0,3,200,33.63,0,Top Supplier,2026-05-16 03:34:18
Devbug,3,0,4,26.75,2,212,33.55,0,Top Supplier,2026-05-16 03:34:18
Viva,2,0,2,51.5,1,79,33.4,1,At-Risk Supplier,2026-05-16 03:34:18
Topdrive,2,1,4,71.5,4,228,33.33,0,Top Supplier,2026-05-16 03:34:18
Centimia,2,0,4,44.75,3,240,33.26,0,Top Supplier,2026-05-16 03:34:18
Meeveo,3,2,3,17.33,1,169,33.11,1,At-Risk Supplier,2026-05-16 03:34:18
Tavu,1,1,2,50.5,1,77,32.98,1,At-Risk Supplier,2026-05-16 03:34:18
Shufflester,3,1,4,40.5,2,128,32.87,0,Top Supplier,2026-05-16 03:34:18
Photofeed,2,0,2,84.0,2,153,32.79,1,At-Risk Supplier,2026-05-16 03:34:18
Youtags,2,1,2,33.0,1,163,32.61,1,At-Risk Supplier,2026-05-16 03:34:18
Zava,2,1,4,33.5,2,156,32.35,0,Top Supplier,2026-05-16 03:34:18
Skivee,2,1,2,40.0,1,121,32.31,1,At-Risk Supplier,2026-05-16 03:34:18
Kazu,2,0,2,31.5,1,159,31.91,1,At-Risk Supplier,2026-05-16 03:34:18
Thoughtbeat,2,0,3,43.0,2,183,31.87,0,Top Supplier,2026-05-16 03:34:18
Wikivu,1,1,1,94.0,1,80,31.6,1,At-Risk Supplier,2026-05-16 03:34:18
Ntags,1,1,2,47.5,1,69,31.58,1,At-Risk Supplier,2026-05-16 03:34:18
DabZ,2,1,2,40.5,1,103,31.41,1,At-Risk Supplier,2026-05-16 03:34:18
Vitz,2,0,3,55.67,2,108,31.39,1,At-Risk Supplier,2026-05-16 03:34:18
Buzzbean,1,0,2,40.5,1,102,31.35,1,At-Risk Supplier,2026-05-16 03:34:18
Plajo,3,1,3,26.33,2,255,30.94,0,Top Supplier,2026-05-16 03:34:18
Camido,2,0,3,71.33,3,182,30.58,0,Top Supplier,2026-05-16 03:34:18
Dynazzy,1,0,1,100.0,1,30,30.53,1,At-Risk Supplier,2026-05-16 03:34:18
Podcat,1,1,1,88.0,1,93,30.51,1,At-Risk Supplier,2026-05-16 03:34:18
Avamba,2,1,2,86.5,2,100,30.46,1,At-Risk Supplier,2026-05-16 03:34:18
Skilith,2,1,2,30.0,1,138,30.21,1,At-Risk Supplier,2026-05-16 03:34:18
Jatri,2,1,3,52.67,2,101,30.05,1,At-Risk Supplier,2026-05-16 03:34:18
Wordify,1,1,2,38.0,1,90,29.87,1,At-Risk Supplier,2026-05-16 03:34:18
Oyoloo,1,1,3,43.33,2,147,29.86,1,At-Risk Supplier,2026-05-16 03:34:18
Kamba,3,1,4,34.25,3,236,29.77,0,Top Supplier,2026-05-16 03:34:18
Meetz,1,0,1,96.0,1,38,29.76,1,At-Risk Supplier,2026-05-16 03:34:18
Quamba,2,1,2,44.0,1,49,29.32,1,At-Risk Supplier,2026-05-16 03:34:18
Buzzshare,3,1,3,40.0,2,151,29.07,1,At-Risk Supplier,2026-05-16 03:34:18
Yakitri,3,1,3,52.67,3,252,28.91,0,Top Supplier,2026-05-16 03:34:18
Pixope,1,1,1,85.0,1,77,28.65,1,At-Risk Supplier,2026-05-16 03:34:18
Digitube,2,0,2,77.5,2,116,28.61,1,At-Risk Supplier,2026-05-16 03:34:18
Yotz,2,1,2,81.5,2,94,28.56,1,At-Risk Supplier,2026-05-16 03:34:18
Browsezoom,2,0,2,26.5,1,128,28.54,1,At-Risk Supplier,2026-05-16 03:34:18
Yambee,2,1,2,70.5,2,151,28.5,1,At-Risk Supplier,2026-05-16 03:34:18
Jabbertype,2,1,2,33.0,1,87,28.15,1,At-Risk Supplier,2026-05-16 03:34:18
Rhynyx,2,0,2,23.5,1,134,27.97,1,At-Risk Supplier,2026-05-16 03:34:18
Omba,2,1,4,27.75,3,238,27.88,0,Top Supplier,2026-05-16 03:34:18
Photolist,1,0,1,88.0,1,46,27.75,1,At-Risk Supplier,2026-05-16 03:34:18
Kayveo,2,0,3,65.33,3,160,27.43,0,Top Supplier,2026-05-16 03:34:18
Yodel,1,0,1,87.0,1,45,27.39,1,At-Risk Supplier,2026-05-16 03:34:18
Kare,2,1,2,73.0,2,118,27.34,1,At-Risk Supplier,2026-05-16 03:34:18
Muxo,1,0,1,91.0,1,21,27.22,1,At-Risk Supplier,2026-05-16 03:34:18
Zoonoodle,1,0,1,78.0,1,84,26.89,1,At-Risk Supplier,2026-05-16 03:34:18
Topiclounge,2,1,3,60.0,3,177,26.78,0,Top Supplier,2026-05-16 03:34:18
Photobean,3,1,4,40.25,3,153,26.76,0,Top Supplier,2026-05-16 03:34:18
Browsecat,1,0,2,70.0,2,123,26.7,1,At-Risk Supplier,2026-05-16 03:34:18
Eazzy,1,0,1,80.0,1,61,26.16,1,At-Risk Supplier,2026-05-16 03:34:18
Meedoo,1,0,1,73.0,1,96,26.05,1,At-Risk Supplier,2026-05-16 03:34:18
Mydo,2,2,3,32.0,2,140,25.95,1,At-Risk Supplier,2026-05-16 03:34:18
Zoomzone,1,0,1,79.0,1,59,25.73,1,At-Risk Supplier,2026-05-16 03:34:18
Vimbo,3,1,4,29.75,3,190,25.69,0,Top Supplier,2026-05-16 03:34:18
Skyba,1,1,2,27.5,1,70,25.45,1,At-Risk Supplier,2026-05-16 03:34:18
Buzzdog,2,1,2,65.0,2,127,25.39,1,At-Risk Supplier,2026-05-16 03:34:18
Browsebug,1,0,1,73.0,1,78,24.99,1,At-Risk Supplier,2026-05-16 03:34:18
Voolith,2,1,3,16.67,2,204,24.96,0,Top Supplier,2026-05-16 03:34:18
Skiptube,2,0,2,60.5,2,140,24.76,1,At-Risk Supplier,2026-05-16 03:34:18
Thoughtbridge,1,1,1,70.0,1,84,24.42,1,At-Risk Supplier,2026-05-16 03:34:18
Rhyzio,1,2,2,62.5,2,119,24.15,1,At-Risk Supplier,2026-05-16 03:34:18
Trilith,1,0,1,77.0,1,41,24.06,1,At-Risk Supplier,2026-05-16 03:34:18
