supplier_name,total_products,categories_supplied,total_inventory_value,total_stock,avg_unit_price,total_sales_volume,avg_turnover_rate,low_stock_count,active_products,low_stock_pct,supply_reliability_score,gold_processed_at
Brainlounge,1,1,207.0,69,3.0,98,50.0,0,0,0.0,48.8,2026-04-27 19:17:44
Kwideo,3,3,1158.6,222,5.03,245,57.33,1,1,33.33,48.62,2026-04-27 19:17:44
Kaymbo,1,1,14.0,70,0.2,62,55.0,0,0,0.0,48.5,2026-04-27 19:17:44
Centidel,2,2,804.0,116,4.9,133,43.0,0,0,0.0,48.43,2026-04-27 19:17:44
Reallinks,2,2,800.0,117,7.0,115,46.0,0,0,0.0,48.43,2026-04-27 19:17:44
Skipfire,6,4,1343.0,333,4.08,364,53.0,3,1,50.0,48.39,2026-04-27 19:17:44
Oyoyo,2,2,756.0,126,6.0,114,94.5,1,1,50.0,48.38,2026-04-27 19:17:44
Blogtags,1,1,77.0,77,1.0,58,55.0,0,0,0.0,48.29,2026-04-27 19:17:44
Gigazoom,5,3,896.4,194,4.76,227,64.6,2,2,40.0,47.94,2026-04-27 19:17:44
Skibox,4,2,417.0,191,2.2,268,43.25,1,1,25.0,47.94,2026-04-27 19:17:44
Feedfire,5,3,3552.5,439,7.7,252,60.0,2,4,40.0,47.8,2026-04-27 19:17:44
Yabox,3,2,1194.4,196,5.27,147,38.33,0,0,0.0,47.71,2026-04-27 19:17:44
Kimia,2,2,323.7,99,3.9,142,86.5,1,1,50.0,47.35,2026-04-27 19:17:44
Ntag,2,2,915.6,175,5.2,84,47.5,0,1,0.0,47.31,2026-04-27 19:17:44
Roombo,3,3,888.5,177,4.83,127,72.67,1,1,33.33,47.3,2026-04-27 19:17:44
Edgepulse,1,1,297.0,99,3.0,50,53.0,0,0,0.0,47.26,2026-04-27 19:17:44
Rhycero,3,2,2970.5,190,17.27,125,40.33,0,2,0.0,47.19,2026-04-27 19:17:44
Babbleset,1,1,218.5,46,4.75,36,54.0,0,1,0.0,46.85,2026-04-27 19:17:44
Riffwire,3,2,529.5,133,4.17,87,77.33,1,2,33.33,46.69,2026-04-27 19:17:44
Blognation,3,3,1118.3,211,4.45,209,56.67,1,0,33.33,46.56,2026-04-27 19:17:44
Yodo,5,5,1176.2,319,3.6,322,44.0,2,2,40.0,46.45,2026-04-27 19:17:44
Chatterbridge,4,4,1296.0,268,8.75,239,43.25,1,2,25.0,46.45,2026-04-27 19:17:44
Jaxworks,3,3,710.5,212,3.75,177,29.0,0,1,0.0,46.36,2026-04-27 19:17:44
Rhyloo,5,4,2067.3,303,5.91,331,61.4,3,4,60.0,46.29,2026-04-27 19:17:44
Demivee,5,3,1868.5,324,6.0,290,48.6,2,3,40.0,46.22,2026-04-27 19:17:44
Trudoo,1,1,722.0,76,9.5,24,53.0,0,1,0.0,45.93,2026-04-27 19:17:44
Twitterworks,1,1,225.0,30,7.5,80,43.0,0,0,0.0,45.71,2026-04-27 19:17:44
Skalith,4,3,1044.9,228,5.35,244,63.75,2,1,50.0,45.55,2026-04-27 19:17:44
Bluejam,2,2,954.0,174,5.5,106,38.0,0,2,0.0,45.5,2026-04-27 19:17:44
Quimm,1,1,222.5,89,2.5,27,51.0,0,0,0.0,45.46,2026-04-27 19:17:44
Ooba,2,2,272.0,92,4.25,170,27.0,0,1,0.0,45.38,2026-04-27 19:17:44
Skidoo,6,4,2838.9,320,8.25,284,40.0,2,2,33.33,45.26,2026-04-27 19:17:44
Realblab,4,4,876.4,286,3.08,225,65.75,2,0,50.0,45.19,2026-04-27 19:17:44
Avaveo,5,3,1310.5,252,4.3,310,41.6,2,2,40.0,45.09,2026-04-27 19:17:44
Pixonyx,4,2,3019.15,222,10.98,222,41.5,1,2,25.0,45.04,2026-04-27 19:17:44
Feednation,1,1,229.5,51,4.5,73,42.0,0,1,0.0,45.04,2026-04-27 19:17:44
Livefish,1,1,36.0,18,2.0,54,45.0,0,0,0.0,44.99,2026-04-27 19:17:44
InnoZ,2,2,990.0,152,6.5,114,83.5,1,2,50.0,44.98,2026-04-27 19:17:44
Mydeo,4,3,1270.8,277,3.7,198,45.25,1,0,25.0,44.96,2026-04-27 19:17:44
Fivespan,1,1,207.9,99,2.1,46,46.0,0,1,0.0,44.89,2026-04-27 19:17:44
Meembee,3,2,447.5,127,2.6,191,54.0,1,0,33.33,44.81,2026-04-27 19:17:44
Fivebridge,6,4,701.9000000000001,300,2.4,372,40.0,3,1,50.0,44.78,2026-04-27 19:17:44
Mycat,1,1,1185.0,79,15.0,42,46.0,0,1,0.0,44.69,2026-04-27 19:17:44
Rhynoodle,2,2,1519.0,171,8.75,135,30.0,0,0,0.0,44.51,2026-04-27 19:17:44
Quinu,7,3,1541.0,398,3.79,300,44.0,3,4,42.86,44.46,2026-04-27 19:17:44
Dabfeed,1,1,570.0,76,7.5,31,47.0,0,0,0.0,44.43,2026-04-27 19:17:44
Kwimbee,3,2,1456.0,188,7.33,153,59.0,1,1,33.33,44.41,2026-04-27 19:17:44
Eayo,2,2,246.0,45,5.0,173,71.0,1,0,50.0,44.15,2026-04-27 19:17:44
Oba,3,2,455.5,174,2.5,252,41.33,1,0,33.33,44.03,2026-04-27 19:17:44
Tanoodle,5,4,799.9,253,3.86,291,41.2,2,2,40.0,43.99,2026-04-27 19:17:44
Oyonder,1,1,756.5,85,8.9,57,41.0,0,0,0.0,43.91,2026-04-27 19:17:44
Flashspan,4,3,548.0,199,2.62,248,57.75,2,2,50.0,43.9,2026-04-27 19:17:44
Jabberstorm,3,2,624.2,273,2.3,161,23.67,0,1,0.0,43.89,2026-04-27 19:17:44
Voonder,3,3,590.6,125,4.9,133,92.67,2,1,66.67,43.79,2026-04-27 19:17:44
Abatz,3,2,325.9,111,2.97,244,41.67,1,0,33.33,43.72,2026-04-27 19:17:44
Thoughtworks,1,1,140.0,80,1.75,41,43.0,0,0,0.0,43.71,2026-04-27 19:17:44
Linkbridge,2,2,637.0,174,3.5,155,72.0,1,1,50.0,43.53,2026-04-27 19:17:44
Talane,4,3,1136.0,243,4.81,264,53.75,2,0,50.0,43.48,2026-04-27 19:17:44
Cogilith,3,3,467.0,163,4.0,163,53.67,1,2,33.33,43.27,2026-04-27 19:17:44
Browsezoom,3,3,1512.5,194,6.0,209,46.0,1,0,33.33,43.26,2026-04-27 19:17:44
Dabtype,4,3,1095.5,166,5.69,214,61.25,2,1,50.0,43.23,2026-04-27 19:17:44
Shuffletag,3,3,598.15,160,3.88,201,47.0,1,0,33.33,43.16,2026-04-27 19:17:44
Dabshots,2,2,397.7,98,4.15,138,24.5,0,1,0.0,42.97,2026-04-27 19:17:44
Bluezoom,3,3,855.5,205,4.27,174,18.33,0,1,0.0,42.91,2026-04-27 19:17:44
Jaloo,2,2,755.4,84,7.65,89,80.5,1,2,50.0,42.77,2026-04-27 19:17:44
Wikido,3,3,2227.0,123,13.67,161,52.33,1,1,33.33,42.76,2026-04-27 19:17:44
Brainverse,5,3,786.75,111,6.45,288,57.0,3,1,60.0,42.72,2026-04-27 19:17:44
Ozu,4,2,1152.5,242,4.75,251,53.25,2,1,50.0,42.66,2026-04-27 19:17:44
Twimm,2,2,293.0,125,2.25,107,77.0,1,2,50.0,42.61,2026-04-27 19:17:44
Skaboo,3,2,1208.0,240,4.83,126,57.67,1,0,33.33,42.61,2026-04-27 19:17:44
Thoughtblab,5,2,2180.0,345,5.6,222,9.0,0,1,0.0,42.49,2026-04-27 19:17:44
Eire,3,2,271.8,81,4.6,228,72.67,2,2,66.67,42.48,2026-04-27 19:17:44
Bubblemix,5,3,941.6,363,2.65,358,44.2,3,2,60.0,42.36,2026-04-27 19:17:44
Camido,5,3,3357.5,323,8.85,301,53.6,3,1,60.0,42.34,2026-04-27 19:17:44
Voolia,3,2,1590.0,273,6.0,143,21.33,0,1,0.0,42.24,2026-04-27 19:17:44
Blogpad,3,1,639.0,166,3.67,107,59.0,1,0,33.33,42.05,2026-04-27 19:17:44
Demimbu,3,1,608.2,205,2.87,245,36.0,1,0,33.33,42.02,2026-04-27 19:17:44
Vinder,7,4,6285.08,258,17.78,336,44.0,4,2,57.14,42.02,2026-04-27 19:17:44
Oloo,2,2,252.0,132,2.25,106,74.5,1,0,50.0,41.79,2026-04-27 19:17:44
Brightbean,5,3,2975.3,265,7.86,292,52.4,3,2,60.0,41.5,2026-04-27 19:17:44
Jabbersphere,6,2,1757.2,303,5.48,353,48.67,4,3,66.67,41.48,2026-04-27 19:17:44
Photospace,3,2,1592.0,252,6.67,292,58.67,2,1,66.67,41.44,2026-04-27 19:17:44
Youopia,2,2,738.0,140,4.5,99,74.5,1,1,50.0,41.43,2026-04-27 19:17:44
Mudo,3,2,415.25,145,3.25,227,37.0,1,1,33.33,41.4,2026-04-27 19:17:44
Twiyo,1,1,301.0,43,7.0,95,26.0,0,1,0.0,41.22,2026-04-27 19:17:44
Skyble,3,3,480.79999999999995,203,2.3,157,15.67,0,2,0.0,41.21,2026-04-27 19:17:44
Meeveo,4,3,4208.54,253,16.92,261,22.25,1,2,25.0,41.09,2026-04-27 19:17:44
Edgeify,1,1,228.0,57,4.0,56,32.0,0,0,0.0,41.08,2026-04-27 19:17:44
Shufflebeat,2,2,456.0,126,4.0,86,75.5,1,1,50.0,41.07,2026-04-27 19:17:44
Dynabox,4,3,857.7,255,3.58,304,39.25,2,3,50.0,41.05,2026-04-27 19:17:44
Mynte,3,2,2084.5,176,7.83,235,66.33,2,1,66.67,40.88,2026-04-27 19:17:44
Kwilith,3,2,509.0,144,3.58,216,69.33,2,1,66.67,40.84,2026-04-27 19:17:44
Jetpulse,4,3,1028.0,181,8.38,211,53.75,2,0,50.0,40.76,2026-04-27 19:17:44
Blogtag,2,2,639.0,126,7.5,107,71.0,1,1,50.0,40.76,2026-04-27 19:17:44
Miboo,3,2,340.75,144,3.42,165,77.33,2,0,66.67,40.69,2026-04-27 19:17:44
Geba,5,3,1456.5,260,5.1,322,44.4,3,3,60.0,40.57,2026-04-27 19:17:44
Voomm,4,3,2404.5,271,9.62,261,44.75,2,1,50.0,40.55,2026-04-27 19:17:44
LiveZ,2,2,1075.0,159,7.0,112,69.5,1,0,50.0,40.55,2026-04-27 19:17:44
Meedoo,2,2,1881.0,167,10.5,136,65.0,1,0,50.0,40.39,2026-04-27 19:17:44
Riffpedia,1,1,196.8,82,2.4,48,31.0,0,1,0.0,40.36,2026-04-27 19:17:44
JumpXS,1,1,55.0,11,5.0,88,24.0,0,0,0.0,40.24,2026-04-27 19:17:44
Yoveo,3,3,2796.0,180,14.0,163,43.67,1,2,33.33,40.18,2026-04-27 19:17:44
Tagtune,3,2,542.8000000000001,165,2.55,159,76.67,2,2,66.67,40.18,2026-04-27 19:17:44
Zoovu,4,3,1753.0,206,7.75,244,46.0,2,3,50.0,40.06,2026-04-27 19:17:44
Thoughtstorm,4,3,1376.0,220,8.12,140,62.75,2,2,50.0,39.9,2026-04-27 19:17:44
Pixoboo,1,1,316.0,79,4.0,46,29.0,0,0,0.0,39.63,2026-04-27 19:17:44
Viva,4,4,3301.5,252,11.88,240,69.25,3,1,75.0,39.54,2026-04-27 19:17:44
Linktype,3,3,745.5,105,9.58,202,67.33,2,2,66.67,39.5,2026-04-27 19:17:44
Devcast,4,3,1178.6,261,4.35,261,41.0,2,2,50.0,39.39,2026-04-27 19:17:44
Npath,2,2,464.1,119,4.58,135,61.5,1,1,50.0,39.26,2026-04-27 19:17:44
Rhyzio,3,2,1718.4,163,8.4,219,63.67,2,2,66.67,39.24,2026-04-27 19:17:44
Tazz,3,2,804.5,146,4.83,190,36.0,1,1,33.33,39.19,2026-04-27 19:17:44
Fliptune,2,2,1026.0,171,6.0,70,23.0,0,1,0.0,39.01,2026-04-27 19:17:44
Chatterpoint,3,2,1118.75,146,10.25,161,72.33,2,1,66.67,38.94,2026-04-27 19:17:44
Yata,3,2,588.9,223,2.77,124,46.0,1,0,33.33,38.9,2026-04-27 19:17:44
Wordpedia,3,2,456.0,108,4.75,109,48.33,1,1,33.33,38.85,2026-04-27 19:17:44
Layo,4,2,779.6,135,5.2,271,37.5,2,2,50.0,38.82,2026-04-27 19:17:44
Vidoo,4,3,1277.0,290,5.12,242,42.25,2,2,50.0,38.8,2026-04-27 19:17:44
Livetube,5,2,820.5,258,2.8,248,49.8,3,1,60.0,38.44,2026-04-27 19:17:44
Kanoodle,5,3,469.1,177,3.06,316,56.8,4,3,80.0,38.1,2026-04-27 19:17:44
Topicshots,3,2,373.4,139,2.63,155,37.33,1,2,33.33,37.81,2026-04-27 19:17:44
Lazz,4,3,825.5,154,4.75,301,53.25,3,2,75.0,37.73,2026-04-27 19:17:44
Dynazzy,2,2,651.0,61,15.75,76,66.0,1,0,50.0,37.62,2026-04-27 19:17:44
Topicblab,4,3,1274.1999999999998,243,4.9,267,34.25,2,3,50.0,37.61,2026-04-27 19:17:44
Devpulse,6,5,945.6,259,4.37,280,32.0,3,1,50.0,37.58,2026-04-27 19:17:44
Thoughtsphere,2,2,747.0,131,4.5,162,51.5,1,0,50.0,37.55,2026-04-27 19:17:44
Digitube,3,3,1341.0,152,6.67,170,65.67,2,1,66.67,37.34,2026-04-27 19:17:44
Tagfeed,2,2,315.0,126,2.5,164,50.5,1,2,50.0,37.34,2026-04-27 19:17:44
Cogibox,2,2,1021.5,117,7.25,113,10.0,0,0,0.0,37.2,2026-04-27 19:17:44
Latz,2,2,268.0,85,3.65,119,57.0,1,1,50.0,37.04,2026-04-27 19:17:44
Twitterbeat,4,3,1043.8,164,5.55,241,36.5,2,2,50.0,36.97,2026-04-27 19:17:44
Buzzster,2,2,508.0,111,6.0,133,54.0,1,1,50.0,36.83,2026-04-27 19:17:44
Avamm,2,2,290.0,116,2.5,141,52.5,1,2,50.0,36.78,2026-04-27 19:17:44
Wordtune,2,2,446.0,97,3.5,68,64.5,1,0,50.0,36.74,2026-04-27 19:17:44
Ainyx,3,2,399.55,129,2.82,144,35.33,1,0,33.33,36.63,2026-04-27 19:17:44
Livepath,3,3,576.1,110,4.37,227,53.67,2,2,66.67,36.56,2026-04-27 19:17:44
Kayveo,4,3,2065.0,244,8.19,239,59.5,3,0,75.0,36.48,2026-04-27 19:17:44
Thoughtbeat,4,3,2404.5,286,7.75,205,40.75,2,1,50.0,36.43,2026-04-27 19:17:44
Bubblebox,4,3,447.6,185,3.02,223,37.5,2,1,50.0,36.35,2026-04-27 19:17:44
Yakijo,2,1,229.5,43,5.25,176,45.0,1,0,50.0,36.26,2026-04-27 19:17:44
Eidel,5,4,898.0,199,5.1,273,38.0,3,2,60.0,36.07,2026-04-27 19:17:44
Centimia,5,3,1872.65,255,4.91,268,38.6,3,0,60.0,36.0,2026-04-27 19:17:44
Skynoodle,4,4,1014.5,281,3.7,240,57.5,3,1,75.0,35.91,2026-04-27 19:17:44
Dabvine,1,1,360.0,90,4.0,63,14.0,0,0,0.0,35.87,2026-04-27 19:17:44
Kamba,5,4,2842.0,280,8.8,257,39.6,3,2,60.0,35.75,2026-04-27 19:17:44
Dabjam,4,3,377.85,120,4.36,233,57.5,3,1,75.0,35.55,2026-04-27 19:17:44
Shuffledrive,6,4,1726.5,328,6.0,338,47.33,5,4,83.33,35.3,2026-04-27 19:17:44
Jaxnation,3,3,509.7,138,3.8,168,26.67,1,0,33.33,35.18,2026-04-27 19:17:44
Buzzshare,4,3,1113.0,129,6.7,194,38.5,2,1,50.0,35.17,2026-04-27 19:17:44
Jetwire,2,2,977.0,167,6.5,88,7.5,0,1,0.0,35.14,2026-04-27 19:17:44
Feedspan,2,2,860.0,89,8.0,106,53.0,1,2,50.0,35.14,2026-04-27 19:17:44
Quaxo,3,2,2153.24,155,19.53,110,68.33,2,1,66.67,35.08,2026-04-27 19:17:44
Browsedrive,1,1,55.2,23,2.4,81,8.0,0,1,0.0,34.94,2026-04-27 19:17:44
Browsetype,4,3,1034.4,228,4.45,350,36.0,3,1,75.0,34.91,2026-04-27 19:17:44
Devpoint,4,4,478.2,145,4.18,301,43.75,3,1,75.0,34.79,2026-04-27 19:17:44
Feedmix,5,3,2501.4,247,11.66,338,41.8,4,0,80.0,34.59,2026-04-27 19:17:44
Buzzbean,3,2,1549.7,183,8.97,139,29.33,1,1,33.33,34.51,2026-04-27 19:17:44
Gigaclub,3,2,406.25,157,2.92,87,37.67,1,2,33.33,34.42,2026-04-27 19:17:44
Gabvine,2,2,306.75,93,3.62,170,39.5,1,1,50.0,34.25,2026-04-27 19:17:44
Snaptags,2,2,891.0,139,6.0,92,52.0,1,0,50.0,34.11,2026-04-27 19:17:44
Zoombox,3,3,328.8,174,2.18,195,51.0,2,1,66.67,34.09,2026-04-27 19:17:44
Tagopia,4,2,455.9,133,3.7,251,49.75,3,1,75.0,34.08,2026-04-27 19:17:44
Yotz,3,3,1759.0,171,10.17,122,63.0,2,1,66.67,34.05,2026-04-27 19:17:44
Yodoo,3,3,1026.5,228,4.33,148,26.33,1,1,33.33,34.05,2026-04-27 19:17:44
Skivee,3,3,1342.0,189,7.83,167,54.67,2,2,66.67,33.79,2026-04-27 19:17:44
Tekfly,1,1,93.5,22,4.25,64,7.0,0,1,0.0,33.75,2026-04-27 19:17:44
Topicstorm,4,3,683.25,183,3.69,192,34.0,2,1,50.0,33.68,2026-04-27 19:17:44
Eabox,2,2,245.25,135,1.98,105,48.0,1,0,50.0,33.54,2026-04-27 19:17:44
Quire,3,3,845.8,216,3.95,236,41.33,2,1,66.67,33.2,2026-04-27 19:17:44
Centizu,4,2,788.5,189,3.75,239,48.75,3,0,75.0,33.15,2026-04-27 19:17:44
Omba,5,3,1252.0,255,3.82,294,25.0,3,1,60.0,33.13,2026-04-27 19:17:44
Tavu,2,1,610.0,115,4.5,77,50.5,1,1,50.0,32.88,2026-04-27 19:17:44
Realcube,3,3,676.8,206,2.9,192,14.67,1,1,33.33,32.7,2026-04-27 19:17:44
Linklinks,5,4,1302.5,218,7.4,200,39.0,3,3,60.0,32.63,2026-04-27 19:17:44
Devbug,4,3,829.0,143,5.75,212,26.75,2,0,50.0,32.46,2026-04-27 19:17:44
Shufflester,4,3,977.0,201,4.55,128,40.5,2,1,50.0,32.4,2026-04-27 19:17:44
Photofeed,2,2,680.0,86,6.25,153,84.0,2,0,100.0,32.14,2026-04-27 19:17:44
Topdrive,4,2,511.35,98,5.36,228,71.5,4,1,100.0,32.12,2026-04-27 19:17:44
Zoozzy,1,1,1599.0,78,20.5,62,2.0,0,1,0.0,32.11,2026-04-27 19:17:44
Youtags,2,2,492.5,119,5.75,163,33.0,1,1,50.0,31.88,2026-04-27 19:17:44
Zava,4,2,693.0,242,2.88,156,33.5,2,1,50.0,31.67,2026-04-27 19:17:44
Ntags,2,1,110.4,90,2.4,69,47.5,1,1,50.0,31.54,2026-04-27 19:17:44
Quamba,3,3,831.0,135,9.0,143,51.33,2,1,66.67,31.52,2026-04-27 19:17:44
Wikivu,1,1,524.6,86,6.1,80,94.0,1,1,100.0,31.48,2026-04-27 19:17:44
Kazu,2,2,567.0,99,4.75,159,31.5,1,0,50.0,31.21,2026-04-27 19:17:44
Youfeed,5,3,6429.9,298,17.16,284,20.4,3,2,60.0,31.2,2026-04-27 19:17:44
DabZ,2,2,467.5,61,6.25,103,40.5,1,1,50.0,31.12,2026-04-27 19:17:44
