transaction_id,store_id,cashier_id,product_id,product_category,unit_price,quantity,transaction_time,customer_age,loyalty_member,payment_method,discount,total_amount
T100016,S49,C110,P186,Electronics,163.84,6,2025-05-04 01:20:33.613185,44,Yes,Cash,25.56,731.77
T100017,S37,C259,P761,Grocery,301.07,3,2023-11-12 01:16:23.947220,46,Yes,Cash,11.09,803.04
T100018,S34,C197,P359,Electronics,7.6,1,2024-05-07 10:07:22.359097,24,No,Credit Card,13.74,6.56
T100019,S37,C394,P539,Clothing,320.82,6,2025-03-11 12:32:58.449953,20,No,Mobile Wallet,21.97,1502.02
T100020,S37,C211,P992,Personal Care,365.14,8,2025-06-03 08:18:54.593903,37,Yes,Credit Card,26.44,2148.78
T100021,S15,C336,P85,Snacks,326.9,5,2025-04-27 05:27:11.520288,22,No,Credit Card,7.08,1518.78
T100022,S1,C322,P756,Personal Care,81.28,3,2024-11-25 18:26:47.300844,46,Yes,Mobile Wallet,5.21,231.14
T100023,S49,C477,P19,Household,45.23,1,2024-10-11 03:45:16.745254,64,Yes,UPI,18.44,36.89
T100024,S23,C490,P177,Household,407.97,9,2024-10-17 08:02:12.613333,27,Yes,Mobile Wallet,9.9,3308.23
T100025,S3,C64,P510,Clothing,317.57,9,2024-10-15 15:00:29.210471,49,Yes,Mobile Wallet,22.49,2215.34
T100026,S4,C328,P946,Beverages,261.39,4,2024-10-13 13:56:09.148013,49,Yes,Cash,3.84,1005.41
T100027,S24,C223,P469,Clothing,115.16,4,2024-09-25 09:25:14.263569,36,No,Debit Card,3.8,443.14
T100028,S32,C296,P754,Electronics,50.0,1,2023-10-17 04:38:55.445256,53,No,Debit Card,9.54,45.23
T100029,S28,C44,P959,Clothing,69.33,10,2024-01-28 08:25:05.807658,27,Yes,Debit Card,28.07,498.69
T100030,S36,C421,P792,Clothing,380.92,4,2024-11-02 00:18:21.711089,66,Yes,Cash,24.01,1157.84
T100031,S34,C469,P910,Electronics,425.5,9,2023-09-29 07:32:09.043075,16,Yes,Credit Card,24.08,2907.36
T100032,S27,C259,P526,Personal Care,348.92,6,2023-12-22 09:43:19.828752,43,No,Cash,17.6,1725.06
T100033,S27,C244,P110,Personal Care,242.95,1,2023-11-29 03:58:03.022200,59,Yes,UPI,15.68,204.86
T100034,S32,C154,P911,Clothing,202.53,3,2024-11-21 06:54:04.916104,17,No,Mobile Wallet,18.98,492.27
T100035,S3,C314,P380,Grocery,399.92,4,2024-08-25 21:01:35.781374,39,Yes,UPI,2.46,1560.33
T100036,S39,C197,P296,Grocery,393.33,1,2025-04-21 18:20:52.001719,62,Yes,Cash,21.06,310.49
T100037,S35,C1,P26,Personal Care,327.85,4,2024-04-06 07:45:55.581633,25,No,Mobile Wallet,27.8,946.83
T100038,S8,C428,P692,Beverages,45.4,4,2024-09-01 15:50:20.050546,42,Yes,Debit Card,17.34,150.11
T100039,S7,C302,P325,Beverages,369.54,8,2024-09-10 06:09:39.115213,45,No,UPI,3.68,2847.53
T100040,S31,C462,P915,Household,237.6,6,2025-04-15 19:53:08.977535,73,No,UPI,21.44,1119.95
T100041,S24,C158,P697,Household,86.52,3,2024-01-11 05:03:15.436899,63,Yes,Mobile Wallet,29.08,184.08
T100042,S14,C126,P531,Household,451.3,6,2025-04-14 12:51:59.116561,48,Yes,Credit Card,3.64,2609.24
T100043,S21,C349,P175,Snacks,36.22,3,2024-04-04 06:29:07.248323,31,Yes,Debit Card,19.33,87.66
T100044,S36,C258,P369,Grocery,68.28,9,2024-01-22 06:27:20.522312,22,No,Credit Card,20.64,487.68
T100045,S46,C139,P989,Household,277.84,10,2025-09-05 21:51:29.632204,60,No,UPI,18.4,2267.17
T100046,S20,C445,P26,Electronics,238.29,10,2024-11-03 08:48:19.436382,59,No,Cash,29.12,1689.0
T100047,S46,C366,P881,Clothing,263.14,2,2023-11-11 09:04:16.757670,28,Yes,Debit Card,6.8,490.49
T100048,S33,C98,P173,Grocery,115.58,2,2025-06-15 16:57:04.417948,40,No,Debit Card,16.93,192.02
T100049,S32,C494,P639,Personal Care,468.35,7,2025-08-18 09:51:38.468243,27,Yes,UPI,1.07,3243.37
T100050,S27,C217,P150,Snacks,375.34,5,2024-02-26 09:15:19.356545,23,Yes,Mobile Wallet,10.64,1677.02
T100051,S22,C355,P728,Household,277.42,3,2025-02-21 15:46:45.249101,28,Yes,Cash,24.61,627.44
T100052,S8,C57,P709,Clothing,213.28,3,2025-07-31 17:02:32.656579,51,Yes,Cash,14.45,547.38
T100053,S33,C101,P763,Household,41.46,8,2024-10-28 20:39:33.001479,28,Yes,Cash,12.05,291.71
T100054,S13,C332,P37,Personal Care,341.46,8,2025-08-15 16:02:41.589788,64,No,Credit Card,4.24,2615.86
T100055,S28,C173,P525,Electronics,479.31,7,2025-04-23 20:34:58.739896,67,Yes,Credit Card,13.19,2912.62
T100056,S32,C122,P736,Grocery,403.2,6,2024-05-23 16:14:32.775718,28,No,Mobile Wallet,15.88,2035.03
T100057,S21,C245,P391,Electronics,153.19,5,2023-12-20 14:00:32.616347,58,No,Credit Card,9.82,690.73
T100058,S1,C93,P29,Electronics,489.3,3,2025-08-08 08:36:52.019745,45,No,Cash,10.12,1319.35
T100059,S3,C92,P291,Electronics,3.01,9,2025-08-13 07:07:02.663764,75,No,UPI,14.1,23.27
T100060,S32,C45,P722,Snacks,384.45,4,2024-04-14 20:04:36.979899,43,No,Credit Card,22.14,1197.33
T100061,S30,C176,P501,Personal Care,15.99,4,2023-10-22 18:55:30.736915,73,No,Credit Card,23.05,49.22
T100062,S8,C363,P681,Personal Care,229.45,10,2025-03-28 18:09:48.051965,25,Yes,Debit Card,7.41,2124.48
T100063,S11,C498,P676,Grocery,319.1,6,2024-04-19 04:13:34.448659,38,No,Mobile Wallet,7.77,1765.84
T100064,S25,C13,P830,Clothing,21.67,9,2025-05-22 20:18:27.810759,48,No,UPI,19.3,157.39
T100065,S44,C87,P134,Personal Care,181.67,2,2025-05-05 02:22:06.497698,42,Yes,Cash,3.12,352.0
T100066,S20,C264,P667,Beverages,160.5,10,2024-03-08 03:13:30.647795,61,No,Debit Card,14.46,1372.92
T100067,S8,C433,P339,Beverages,80.77,9,2023-12-01 05:54:24.960085,49,No,Debit Card,21.39,571.44
T100068,S24,C119,P626,Household,425.8,9,2023-12-26 10:22:05.003308,34,No,Debit Card,18.31,3130.52
T100069,S29,C272,P956,Beverages,63.9,2,2024-03-26 12:47:50.577442,23,Yes,UPI,22.83,98.62
T100070,S17,C170,P209,Beverages,224.96,8,2024-01-13 11:07:05.873562,22,Yes,Debit Card,13.17,1562.66
T100071,S35,C292,P539,Snacks,249.82,3,2024-07-24 16:06:15.620720,63,Yes,Mobile Wallet,18.77,608.79
T100072,S12,C107,P226,Snacks,460.33,7,2023-10-28 12:18:34.864566,75,Yes,Credit Card,2.46,3143.04
T100073,S9,C455,P138,Snacks,392.15,7,2025-02-14 15:19:54.334551,38,No,Mobile Wallet,1.86,2693.99
T100074,S19,C446,P52,Personal Care,48.13,9,2025-05-11 03:28:52.249063,26,No,Debit Card,16.87,360.09
T100075,S3,C82,P403,Grocery,397.02,3,2025-05-15 09:20:20.105614,29,Yes,UPI,7.9,1096.97
T100076,S20,C152,P69,Snacks,387.07,8,2025-09-11 01:53:08.522825,52,Yes,Debit Card,26.51,2275.66
T100077,S27,C43,P811,Clothing,404.55,4,2023-11-11 00:41:35.889583,37,Yes,Cash,26.43,1190.51
T100078,S21,C489,P415,Household,293.6,1,2024-02-14 21:48:22.166283,51,Yes,Credit Card,25.16,219.73
T100079,S3,C315,P101,Grocery,218.61,10,2024-11-01 09:21:43.112746,36,Yes,UPI,9.76,1972.74
T100080,S36,C200,P218,Clothing,232.89,3,2025-07-11 16:48:15.480109,31,Yes,UPI,23.63,533.57
T100081,S3,C463,P697,Household,408.58,10,2024-09-16 12:57:50.314692,48,Yes,Mobile Wallet,13.45,3536.26
T100082,S16,C138,P706,Personal Care,208.18,7,2024-11-02 07:45:06.177011,50,Yes,Mobile Wallet,3.26,1409.75
T100083,S45,C319,P781,Personal Care,379.06,10,2025-06-14 09:39:17.428301,28,No,Mobile Wallet,13.11,3293.65
T100084,S46,C103,P587,Grocery,420.47,2,2024-05-09 14:15:58.679043,56,No,Mobile Wallet,23.0,647.52
T100085,S49,C221,P314,Beverages,225.58,8,2023-10-05 10:45:20.903670,24,No,Credit Card,22.9,1391.38
T100086,S49,C4,P763,Beverages,369.78,6,2024-08-11 20:37:51.493845,31,No,Cash,16.71,1847.94
T100087,S31,C432,P137,Beverages,385.3,1,2025-01-27 15:45:28.785410,66,Yes,Credit Card,10.96,343.07
T100088,S39,C62,P525,Personal Care,18.37,2,2023-12-03 00:38:09.717851,31,No,Credit Card,6.72,34.27
T100089,S7,C227,P273,Household,453.61,5,2025-01-03 05:04:10.094819,31,Yes,Credit Card,6.37,2123.58
T100090,S30,C40,P298,Electronics,459.15,3,2024-06-08 10:35:11.393366,28,Yes,UPI,26.42,1013.53
T100091,S28,C357,P457,Household,128.0,1,2024-08-04 16:53:38.592354,34,Yes,Mobile Wallet,19.87,102.57
T100092,S39,C194,P591,Household,168.16,5,2024-03-03 09:11:50.319059,59,No,Cash,2.09,823.23
T100093,S32,C293,P584,Personal Care,255.73,1,2025-05-25 18:09:40.610513,71,No,Debit Card,10.97,227.68
T100094,S1,C31,P441,Snacks,167.62,3,2024-06-02 19:33:10.603462,44,Yes,UPI,28.93,357.38
T100095,S29,C87,P911,Household,356.12,8,2025-08-04 06:57:38.061056,67,No,Cash,3.22,2757.22
T100096,S37,C316,P981,Snacks,460.72,8,2025-02-12 15:32:06.089727,47,Yes,UPI,18.62,2999.47
T100097,S16,C310,P74,Household,295.2,6,2023-09-14 21:46:07.273084,69,Yes,Debit Card,6.23,1660.85
T100098,S30,C86,P485,Clothing,258.05,9,2025-04-04 16:07:29.328476,56,No,Cash,9.99,2090.44
T100099,S42,C246,P666,Snacks,288.94,7,2024-08-02 10:49:40.038232,25,No,Credit Card,28.35,1449.18
T100100,S33,C391,P240,Household,17.62,7,2024-05-07 19:34:04.523978,66,No,UPI,27.82,89.03
T100101,S41,C113,P619,Personal Care,290.16,10,2025-02-14 13:56:10.911614,24,No,Debit Card,16.72,2416.45
T100102,S8,C25,P54,Electronics,120.42,5,2025-02-21 15:50:15.008705,55,No,Cash,19.7,483.49
T100103,S38,C243,P596,Beverages,151.37,8,2024-07-22 00:53:25.030483,61,No,Mobile Wallet,18.43,987.78
T100104,S2,C366,P916,Personal Care,198.43,6,2023-11-11 05:13:04.936058,33,No,Cash,28.82,847.45
T100105,S12,C465,P24,Snacks,318.63,4,2024-07-01 02:19:59.659818,40,Yes,Mobile Wallet,13.76,1099.15
T100106,S5,C376,P464,Snacks,475.47,7,2023-12-19 02:01:18.981777,27,Yes,Debit Card,8.85,3033.74
T100107,S36,C87,P437,Electronics,429.71,7,2024-11-27 09:52:39.991057,64,Yes,Credit Card,23.0,2316.14
T100108,S33,C165,P162,Snacks,373.32,1,2023-11-21 20:56:51.901143,17,Yes,UPI,14.06,320.83
T100109,S38,C413,P419,Household,217.66,10,2025-05-25 11:55:40.553537,72,Yes,Mobile Wallet,22.98,1676.42
T100110,S1,C86,P76,Clothing,141.44,9,2023-12-28 06:59:11.626438,30,No,Credit Card,9.45,1152.67
T100111,S48,C398,P298,Grocery,238.77,9,2025-04-10 06:27:01.812985,42,Yes,Debit Card,24.19,1629.1
T100112,S39,C274,P876,Snacks,86.86,5,2024-11-30 05:16:22.620298,20,No,Debit Card,11.01,386.48
T100113,S15,C277,P141,Snacks,57.7,5,2025-01-05 04:43:25.740133,63,Yes,UPI,13.98,248.17
T100114,S19,C141,P388,Snacks,421.45,6,2024-05-31 14:33:34.332710,23,No,Debit Card,27.13,1842.66
T100115,S43,C113,P737,Beverages,492.13,5,2024-03-09 16:42:28.103247,60,Yes,Credit Card,6.17,2308.83
T100116,S8,C473,P134,Snacks,338.87,6,2023-12-20 01:46:02.372746,39,No,Cash,7.58,1879.1
T100117,S9,C75,P358,Electronics,240.76,1,2024-08-12 06:02:02.137589,73,No,Cash,3.3,232.81
T100118,S6,C425,P589,Personal Care,124.23,8,2025-01-22 06:34:36.720307,71,No,UPI,29.63,699.37
T100119,S42,C376,P198,Grocery,283.3,10,2025-09-10 03:38:27.358565,36,No,UPI,6.94,2636.39
T100120,S38,C369,P109,Clothing,319.18,2,2025-01-17 01:51:45.830504,17,Yes,Mobile Wallet,16.99,529.9
T100121,S10,C430,P745,Grocery,312.27,4,2024-09-02 17:20:53.341244,61,Yes,UPI,25.78,927.07
T100122,S46,C144,P667,Personal Care,42.04,8,2025-01-31 21:36:22.849625,39,Yes,Mobile Wallet,8.07,309.18
T100123,S3,C221,P137,Beverages,410.13,5,2024-03-25 03:21:32.641785,33,Yes,Mobile Wallet,2.58,1997.74
T100124,S16,C37,P610,Grocery,346.66,8,2025-08-19 10:04:14.638822,41,No,UPI,17.54,2286.85
T100125,S1,C275,P23,Personal Care,164.06,2,2025-08-02 13:04:55.412996,68,Yes,Credit Card,9.88,295.7
T100126,S11,C357,P433,Household,459.59,8,2024-05-06 08:51:29.019589,36,No,Cash,18.16,3009.03
T100127,S10,C75,P286,Electronics,164.88,1,2023-10-28 09:38:25.843827,57,No,Mobile Wallet,11.13,146.53
T100128,S19,C80,P22,Electronics,397.7,1,2024-06-20 20:40:15.657838,16,No,Cash,27.94,286.58
T100129,S48,C191,P623,Beverages,40.27,4,2023-09-22 09:02:53.858791,23,No,Credit Card,9.47,145.83
T100130,S22,C49,P456,Personal Care,497.94,2,2024-12-21 08:17:23.828450,27,Yes,UPI,17.35,823.09
T100131,S11,C253,P49,Beverages,134.24,2,2024-10-17 04:31:15.861474,44,Yes,Credit Card,29.72,188.69
T100132,S32,C115,P3,Grocery,427.35,9,2023-10-23 01:20:46.781996,28,No,Cash,4.05,3690.38
T100133,S22,C37,P583,Snacks,262.15,9,2025-07-10 12:14:54.052963,51,No,Debit Card,15.01,2005.21
T100134,S24,C406,P600,Snacks,274.61,2,2024-06-24 02:05:49.308300,20,Yes,Debit Card,27.28,399.39
T100135,S40,C156,P652,Personal Care,444.92,3,2024-05-29 18:04:37.169858,26,No,Debit Card,21.17,1052.19
T100136,S32,C375,P563,Snacks,389.67,4,2024-09-07 12:08:27.116172,32,Yes,UPI,17.3,1289.03
T100137,S44,C250,P240,Beverages,457.33,9,2024-11-03 17:47:33.311406,61,Yes,Mobile Wallet,18.75,3344.23
T100138,S6,C119,P453,Household,203.24,8,2023-10-20 03:18:46.114598,50,No,Credit Card,22.88,1253.91
T100139,S42,C41,P888,Grocery,449.88,5,2024-02-16 05:58:20.050617,60,Yes,Cash,14.78,1916.94
T100140,S44,C108,P12,Clothing,318.56,2,2024-09-25 01:08:34.010742,23,Yes,UPI,12.58,556.97
T100141,S28,C365,P319,Personal Care,212.98,6,2025-05-06 10:52:40.971321,20,Yes,UPI,24.72,961.99
T100142,S48,C437,P259,Household,156.99,1,2024-07-16 14:15:19.843694,70,Yes,UPI,8.75,143.25
T100143,S20,C1,P544,Beverages,104.43,6,2025-02-02 02:30:27.569654,32,Yes,Debit Card,19.06,507.15
T100144,S48,C28,P450,Snacks,242.04,8,2025-07-23 22:00:45.634666,52,Yes,UPI,22.01,1510.14
T100145,S37,C267,P77,Snacks,422.9,7,2025-08-27 09:16:09.189501,73,Yes,Credit Card,13.65,2556.22
T100146,S13,C300,P428,Snacks,9.73,9,2024-06-12 08:15:56.811396,66,No,Debit Card,21.51,68.73
T100147,S34,C258,P277,Grocery,78.8,6,2024-07-15 07:20:02.492275,71,No,Cash,24.09,358.9
T100148,S32,C455,P468,Electronics,235.57,8,2024-05-24 05:03:48.545873,19,Yes,Credit Card,17.74,1550.24
T100149,S40,C363,P858,Household,58.63,7,2025-01-01 09:04:21.661845,68,Yes,Cash,18.96,332.6
T100150,S49,C309,P762,Personal Care,89.73,9,2023-11-13 00:58:13.051638,56,Yes,Mobile Wallet,22.41,626.59
T100151,S39,C65,P982,Personal Care,293.75,1,2025-03-21 17:29:31.919976,49,Yes,Debit Card,11.86,258.91
T100152,S48,C215,P262,Personal Care,135.74,10,2024-12-21 11:41:30.294751,72,No,Debit Card,7.58,1254.51
T100153,S29,C46,P842,Personal Care,127.73,3,2025-05-06 23:39:46.931549,23,Yes,UPI,4.04,367.71
T100154,S11,C221,P525,Household,130.18,4,2024-01-15 07:52:10.961029,46,Yes,UPI,5.98,489.58
T100155,S37,C310,P68,Electronics,309.21,1,2025-07-04 18:39:11.094469,31,Yes,Credit Card,17.16,256.15
T100156,S20,C485,P318,Household,126.26,2,2025-06-28 14:21:35.782935,26,Yes,Cash,6.89,235.12
T100157,S5,C49,P978,Beverages,450.07,4,2024-11-14 06:23:00.108753,47,Yes,Mobile Wallet,19.34,1452.11
T100158,S17,C91,P717,Grocery,235.69,2,2025-06-30 06:32:35.946376,28,Yes,Credit Card,19.07,381.49
T100159,S21,C208,P215,Household,36.95,2,2025-02-27 08:55:07.805629,71,Yes,Debit Card,21.32,58.14
T100160,S13,C310,P103,Grocery,175.78,5,2024-01-07 13:38:27.117612,71,No,UPI,26.82,643.18
T100161,S2,C248,P885,Electronics,282.71,7,2025-06-29 07:42:40.585657,17,Yes,Cash,8.22,1816.3
T100162,S41,C460,P449,Clothing,314.67,7,2024-03-26 06:34:35.845799,36,Yes,Debit Card,1.19,2176.48
T100163,S1,C83,P861,Grocery,55.07,5,2025-03-09 21:57:04.424026,71,No,UPI,10.29,247.02
T100164,S43,C26,P806,Snacks,129.55,7,2025-03-18 14:03:09.774093,26,Yes,Credit Card,23.41,694.56
T100165,S27,C349,P508,Household,436.28,6,2025-02-04 21:51:41.615185,47,No,Cash,15.35,2215.87
T100166,S44,C313,P945,Snacks,194.32,6,2024-01-10 21:51:03.273684,63,Yes,Debit Card,28.2,837.13
T100167,S26,C157,P938,Clothing,366.93,10,2024-09-10 16:12:35.946187,48,No,Credit Card,11.67,3241.09
T100168,S38,C400,P233,Beverages,110.7,2,2024-02-19 05:40:27.597096,54,No,Mobile Wallet,20.94,175.04
T100169,S32,C275,P252,Clothing,30.12,2,2024-05-01 10:35:59.048230,66,Yes,Credit Card,5.56,56.89
T100170,S21,C428,P585,Beverages,495.68,4,2024-06-17 08:02:39.996889,19,No,Cash,5.42,1875.26
T100171,S8,C345,P980,Grocery,249.12,6,2024-05-17 03:47:25.230393,19,No,Mobile Wallet,22.23,1162.44
T100172,S47,C473,P468,Personal Care,480.35,1,2025-06-15 01:59:14.993253,60,No,Cash,14.36,411.37
T100173,S5,C332,P959,Beverages,219.26,1,2024-09-09 23:36:41.906971,60,Yes,Cash,25.54,163.26
T100174,S50,C439,P472,Grocery,199.78,1,2024-03-22 16:18:55.080056,17,No,Mobile Wallet,7.09,185.62
T100175,S26,C422,P319,Grocery,396.99,3,2023-12-14 09:56:44.722653,42,Yes,Debit Card,29.28,842.25
T100176,S11,C82,P548,Electronics,214.38,8,2025-09-04 06:43:56.626015,42,No,Mobile Wallet,1.53,1688.8
T100177,S12,C80,P73,Personal Care,371.4,4,2024-08-04 22:00:40.665566,59,Yes,Mobile Wallet,15.47,1255.78
T100178,S35,C31,P627,Household,393.67,7,2023-10-19 18:35:50.621600,29,No,Mobile Wallet,0.61,2738.88
T100179,S38,C322,P627,Beverages,342.09,2,2024-05-24 05:05:31.452491,23,No,UPI,20.25,545.63
T100180,S49,C473,P993,Household,282.31,7,2024-09-01 08:08:10.582940,45,No,Cash,19.0,1600.7
T100181,S15,C396,P927,Snacks,460.39,9,2023-12-11 20:20:15.454316,35,No,Credit Card,21.41,3256.38
T100182,S37,C149,P98,Electronics,483.96,4,2023-12-03 19:00:28.417583,49,No,UPI,19.28,1562.61
T100183,S26,C226,P790,Household,162.93,2,2025-06-17 11:16:31.443341,23,No,Cash,12.98,283.56
T100184,S15,C207,P475,Snacks,409.81,3,2023-09-17 10:48:25.706009,18,Yes,Debit Card,18.71,999.4
T100185,S49,C326,P718,Grocery,83.77,5,2025-03-10 17:15:07.350403,73,Yes,Credit Card,29.7,294.45
T100186,S45,C355,P132,Beverages,192.61,3,2023-12-05 19:25:17.994937,51,No,Mobile Wallet,17.17,478.62
T100187,S38,C127,P894,Clothing,445.71,7,2024-03-20 02:35:10.269115,67,No,Cash,29.41,2202.39
T100188,S35,C221,P186,Personal Care,21.75,5,2025-06-16 18:41:50.618015,17,No,UPI,18.92,88.17
T100189,S33,C449,P498,Grocery,498.64,9,2025-03-14 06:56:31.704586,51,Yes,UPI,11.6,3967.18
T100190,S25,C329,P262,Beverages,316.6,7,2024-02-13 00:58:35.752665,46,No,Cash,24.96,1663.04
T100191,S14,C109,P715,Clothing,363.25,2,2025-08-23 18:33:03.691657,51,Yes,UPI,5.95,683.27
T100192,S40,C97,P430,Grocery,21.62,6,2024-04-20 06:51:59.474962,52,Yes,Credit Card,11.78,114.44
T100193,S25,C184,P485,Clothing,236.32,7,2024-05-03 01:17:45.277882,66,Yes,UPI,9.77,1492.62
T100194,S20,C378,P584,Grocery,463.55,8,2024-10-27 04:35:45.210291,73,Yes,UPI,8.08,3408.76
T100195,S16,C64,P641,Household,139.34,2,2025-02-13 15:34:01.046740,38,Yes,Credit Card,14.91,237.13
T100196,S31,C237,P104,Household,293.62,6,2024-03-20 22:42:12.324406,72,Yes,Cash,27.22,1282.18
T100197,S9,C24,P254,Clothing,313.27,2,2024-01-21 11:00:16.098497,43,No,UPI,16.93,520.47
T100198,S4,C357,P680,Snacks,323.65,3,2024-12-14 00:16:14.994441,43,No,Credit Card,21.53,761.9
T100199,S21,C251,P935,Snacks,132.89,7,2025-08-09 02:40:15.889707,33,No,Debit Card,27.15,677.67
T100200,S33,C356,P126,Beverages,384.24,7,2024-04-09 17:37:27.580530,65,Yes,Mobile Wallet,11.8,2372.3
T100201,S42,C499,P811,Household,436.5,3,2024-03-19 01:16:07.022848,27,No,Cash,9.71,1182.35
T100202,S19,C386,P529,Beverages,238.78,2,2025-02-21 05:05:23.854550,62,Yes,Debit Card,12.3,418.82
T100203,S19,C410,P407,Grocery,206.79,9,2024-08-05 04:28:30.373172,18,Yes,UPI,3.67,1792.81
T100204,S7,C150,P310,Personal Care,106.87,2,2025-01-07 20:02:12.899817,56,No,UPI,15.96,179.63
T100205,S31,C491,P680,Household,443.89,3,2025-07-10 03:05:44.721855,74,Yes,Cash,14.19,1142.71
T100206,S20,C486,P993,Clothing,270.53,7,2023-09-21 10:54:20.855302,20,No,Cash,14.86,1612.3
T100207,S4,C54,P51,Personal Care,49.49,8,2025-07-21 14:10:57.812382,56,Yes,Cash,16.36,331.15
T100208,S13,C339,P282,Clothing,426.06,2,2024-06-20 18:21:32.383052,19,Yes,Cash,19.63,684.85
T100209,S12,C78,P922,Grocery,493.67,9,2024-05-31 07:07:16.146687,45,Yes,Credit Card,19.13,3593.08
T100210,S49,C488,P52,Personal Care,374.5,8,2023-11-10 23:26:44.439735,60,Yes,Cash,9.79,2702.69
T100211,S50,C23,P616,Personal Care,321.09,3,2024-10-11 01:29:28.365723,26,Yes,Mobile Wallet,22.33,748.17
T100212,S24,C325,P60,Electronics,392.15,8,2024-05-27 20:22:22.547723,50,No,Credit Card,3.08,3040.57
T100213,S35,C237,P23,Beverages,102.74,4,2025-06-30 04:07:18.341902,18,Yes,Credit Card,9.92,370.19
T100214,S17,C375,P54,Personal Care,34.17,1,2023-12-18 01:34:02.437868,48,Yes,UPI,20.56,27.14
T100215,S36,C451,P191,Snacks,106.35,6,2023-10-20 15:08:47.574219,59,No,Debit Card,14.4,546.21
T100216,S35,C199,P57,Personal Care,27.11,10,2025-05-30 18:59:51.149855,51,Yes,Debit Card,15.98,227.78
T100217,S4,C100,P35,Snacks,425.09,1,2024-08-23 03:20:48.773710,70,No,Cash,24.22,322.13
T100218,S18,C342,P776,Snacks,155.69,3,2024-04-01 23:17:29.038639,24,Yes,Mobile Wallet,1.61,459.55
T100219,S19,C252,P759,Beverages,403.34,3,2024-03-26 06:11:37.257417,32,Yes,Mobile Wallet,10.75,1079.94
T100220,S7,C328,P397,Grocery,337.1,3,2025-03-16 05:00:21.666186,22,Yes,Debit Card,29.29,715.09
T100221,S13,C142,P826,Beverages,435.5,10,2025-04-25 05:01:51.884536,36,No,Debit Card,11.57,3851.13
T100222,S48,C188,P32,Beverages,423.18,5,2025-02-09 11:02:53.197560,59,Yes,Cash,0.6,2103.2
T100223,S7,C108,P267,Electronics,157.56,4,2024-10-05 16:51:04.090966,54,Yes,Cash,25.49,469.59
T100224,S4,C481,P396,Household,208.37,10,2024-11-06 23:44:52.260182,71,Yes,Debit Card,19.87,1669.67
T100225,S30,C408,P403,Clothing,380.97,9,2024-04-05 12:30:16.079174,63,No,Credit Card,3.61,3304.95
T100226,S7,C486,P534,Beverages,41.12,5,2024-08-26 14:26:53.177670,55,Yes,Debit Card,5.06,195.2
T100227,S11,C252,P542,Snacks,16.72,1,2024-03-31 02:26:29.022040,60,No,UPI,10.8,14.91
T100228,S8,C75,P692,Grocery,275.1,3,2025-04-05 10:45:38.039984,74,Yes,Credit Card,15.97,693.5
T100229,S29,C19,P899,Grocery,58.19,5,2025-06-03 23:23:30.246680,42,No,Mobile Wallet,27.87,209.86
T100230,S33,C199,P115,Grocery,283.28,9,2023-09-22 20:53:26.575181,47,Yes,Cash,13.26,2211.45
T100231,S20,C327,P857,Beverages,405.86,1,2024-09-10 02:39:24.849601,62,Yes,Credit Card,3.5,391.65
T100232,S29,C354,P518,Grocery,323.52,1,2024-08-25 21:48:32.892140,60,Yes,UPI,13.42,280.1
T100233,S49,C137,P594,Personal Care,189.59,7,2025-07-17 21:47:22.569535,67,Yes,Mobile Wallet,19.44,1069.14
